driver_lines_label,driver_lines_id,driver_lines_color
Calb1-IRES2-Cre,1,#AA9C30
Chat-IRES-Cre-neo,2,#A90CC9
Chrna2-Cre_OE25,3,#E58A19
Chrna2-Cre_OE25|Pvalb-T2A-Dre,4,#F46640
Chrnb3-Cre_SM93,5,#3479A6
Crh-IRES-Cre_ZJH|Sst-IRES-FlpO,6,#A64213
Ctgf-T2A-dgCre,7,#47797E
Cux2-CreERT2,8,#2D9CAB
Esr2-IRES2-Cre,9,#5100FF
Etv1-CreERT2|Pvalb-T2A-FlpO,10,#D44155
Gad2-IRES-Cre,11,#D98463
Glt25d2-Cre_NF107,12,#74B3A0
Gng7-Cre_KH71,13,#808B61
Htr3a-Cre_NO152,14,#DF6BC6
Htr3a-Cre_NO152|Pvalb-T2A-Dre,15,#BC394B
Htr3a-Cre_NO152|Sst-IRES-FlpO,16,#CF790F
Ndnf-IRES2-dgCre,17,#C07B85
Ndnf-IRES2-dgCre|Slc32a1-IRES2-FlpO,18,#E36D83
Nkx2-1-CreERT2,19,#BD4656
No Cre or Flp Driver,20,#579172
Nos1-CreERT2,21,#D1993F
Nos1-CreERT2|Sst-IRES-FlpO,22,#BB760D
Npy-IRES2-FlpO,23,#D78473
Nr5a1-Cre,24,#43BCA9
Ntsr1-Cre_GN220,25,#70849A
Oxtr-T2A-Cre,26,#B8AE3E
Oxtr-T2A-Cre|Pvalb-T2A-FlpO,27,#CD3449
Pdyn-T2A-CreERT2,28,#BE8518
Penk-IRES2-Cre-neo,29,#9B6D97
Pvalb-IRES-Cre,30,#CD3449
Rasgrf2-T2A-dgFlpO,31,#BAAEA7
Rbp4-Cre_KL100,32,#009B81
Rorb-IRES2-Cre-neo,33,#2B8C88
Rorb-IRES2-FlpO,34,#0AC797
Rorb-P2A-FlpO,35,#1A9591
Scnn1a-Tg2-Cre,36,#59B7B4
Scnn1a-Tg3-Cre,37,#65AA8A
Sim1-Cre_KJ18,38,#1DA3A4
Slc17a6-IRES-Cre,39,#7EEF8C
Slc17a7-IRES2-Cre,40,#56AC6C
Slc17a8-iCre,41,#91A974
Slc17a8-IRES2-Cre,42,#7B8543
Slc17a8-IRES2-Cre|Slc32a1-IRES2-FlpO,43,#CF283E
Slc32a1-IRES-Cre,44,#EC6672
Snap25-IRES2-Cre,45,#609D6C
Sst-IRES-Cre,46,#B35F1F
Sst-IRES-Cre|Pvalb-T2A-Dre,47,#CF831A
Tac1-IRES2-Cre,48,#B65C30
Tac1-IRES2-Cre|Sst-IRES-FlpO,49,#BF3B2B
Th-Cre_FI172,50,#BB3482
Tlx3-Cre_PL56,51,#00A982
Trib2-F2A-CreERT2,52,#48C3A4
Vip-IRES-Cre,53,#B53DC6
Vipr2-IRES2-Cre,54,#76958C
Vipr2-IRES2-Cre|Pvalb-T2A-FlpO,55,#FF197F
Vipr2-IRES2-Cre|Slc32a1-T2A-FlpO,56,#DF2166
wt,57,#3E9C67
